ITEM_20150317_000001	
ITEM_20150317_000002	
ITEM_20150317_000003	
ITEM_20150317_000004	
ITEM_20150317_000005	
ITEM_20150317_000006	
ITEM_20150317_000007	
ITEM_20150317_000008	
ITEM_20150317_000009	
ITEM_20150317_000010	
ITEM_20150317_000011	
ITEM_20150317_000012	
ITEM_20150317_000013	Une arme fréquemment utilisée et portée par les soldats du royaume.
ITEM_20150317_000014	
ITEM_20150317_000015	La fabrication de cette arme laisse la possibilité de l'améliorer en sa version militaire.
ITEM_20150317_000016	
ITEM_20150317_000017	Cette épée dispose d'un tranchant exceptionnel.
ITEM_20150317_000018	
ITEM_20150317_000019	Etant donné sa facilité de fabrication, cette épée est fréquemment le premier choix des aventuriers, en remplacement de leur épée d'entraînement.
ITEM_20150317_000020	
ITEM_20150317_000021	Recommandée pour ceux qui désirent une épée plus lourde et plus efficace.
ITEM_20150317_000022	
ITEM_20150317_000023	A l'origine une arme de cavalerie, optimisée pour les coups de taille. La garde de la poignée offre une meilleure protection à la main de son utilisateur.
ITEM_20150317_000024	
ITEM_20150317_000025	La large lame incurvée permet de puissants coups de taille.
ITEM_20150317_000026	
ITEM_20150317_000027	Son poids important est compensé par sa très grande efficacité.
ITEM_20150317_000028	
ITEM_20150317_000029	Sa lame ondulée amplifie les dommages qu'elle inflige. Une épée à la fois pratique et décorative.
ITEM_20150317_000030	
ITEM_20150317_000031	Sa lame extrêmement tranchante fait d'elle une des armes favorites des combattants, même chez les épéistes expérimentés.
ITEM_20150317_000032	
ITEM_20150317_000033	
ITEM_20150317_000034	
ITEM_20150317_000035	Armement de base des soldats de métier. Sa qualité générale est nettement supérieure à celle des gladius vendus sur le marché.
ITEM_20150317_000036	
ITEM_20150317_000037	Un seul regard sur cette arme soulève des suspicions quant au passé de son précédent propriétaire.
ITEM_20150317_000038	
ITEM_20150317_000039	
ITEM_20150317_000040	Cette épée combine esthétique et pratique.
ITEM_20150317_000041	
ITEM_20150317_000042	
ITEM_20150317_000043	
ITEM_20150317_000044	
ITEM_20150317_000045	
ITEM_20150317_000046	
ITEM_20150317_000047	
ITEM_20150317_000048	
ITEM_20150317_000049	
ITEM_20150317_000050	
ITEM_20150317_000051	
ITEM_20150317_000052	
ITEM_20150317_000053	
ITEM_20150317_000054	
ITEM_20150317_000055	
ITEM_20150317_000056	
ITEM_20150317_000057	
ITEM_20150317_000058	
ITEM_20150317_000059	
ITEM_20150317_000060	
ITEM_20150317_000061	
ITEM_20150317_000062	
ITEM_20150317_000063	
ITEM_20150317_000064	Une épée grossière utilisée par les Pantos. Vous pouvez en fabriquer une version améliorée vous-même.
ITEM_20150317_000065	
ITEM_20150317_000066	Certains disent que cette arme libère la rancune que les plantes tiennent à l'encontre des animaux.
ITEM_20150317_000067	
ITEM_20150317_000068	Peut-être du fait de la corrélation entre l'or et la fortune, le Golden Falchion apporte la chance à son détenteur. Il en résulte de sévères dommages et le malheur de ses adversaires.
ITEM_20150317_000069	
ITEM_20150317_000070	Le Steel Falchion est un bon choix pour ceux à la recherche de précision dans leur maniement de l'épée.
ITEM_20150317_000071	
ITEM_20150317_000072	Sa robustesse et son faible poids vous permettront de libérer votre potentiel pendant l'attaque.
ITEM_20150317_000073	
ITEM_20150317_000074	L'essence de Mangradora de cette épée est réputée pour éclaircir l'esprit de son porteur.
ITEM_20150317_000075	
ITEM_20150317_000076	Vous ne devriez jamais sous estimer un Mage brandissant une épée, surtout si cette épée est la Wizard Blade.
ITEM_20150317_000077	
